epoch,frame,norm_fu,norm_init,norm_fimp,norm_vx_lap,norm_vy_lap,norm_vx_t,norm_vy_t,loss,walltime,memory,error_u_t0,error_u_t1,weight_pde,weight_init,weight_data,weight_smooth,weight_time
750,8,0.0036740859504789114,0.0023304703645408154,28.221925735473633,0.0033395655918866396,0.003667748300358653,0.0012965751811861992,0.0012310771271586418,796.47705078125,88.33974003791809,459.828125,3.3662127e-05,0.012563522,0.015263373799964421,8.347451466519061,652.2272661726198,0.0004854025496833548,2.47910290051522
760,8,0.0036483558360487223,0.0014173217350617051,19.385549545288086,0.0033296283800154924,0.003659056033939123,0.0012739533558487892,0.0012093044351786375,375.799560546875,89.5042405128479,473.890625,1.9780608e-05,0.01232482,0.015263373799964421,8.347451466519061,652.2272661726198,0.0004854025496833548,2.47910290051522
770,8,0.0036459274124354124,0.0008942019194364548,10.980835914611816,0.0033198080491274595,0.003650464117527008,0.001251952606253326,0.0011881717946380377,120.57879638671875,90.67032313346863,491.125,1.2863885e-05,0.012354391,0.015263373799964421,8.347451466519061,652.2272661726198,0.0004854025496833548,2.47910290051522
780,8,0.0036447695456445217,0.0004850530531257391,6.4560675621032715,0.003310074796900153,0.003641946706920862,0.0012304448755457997,0.0011675298446789384,41.68084716796875,91.82894492149353,514.03125,7.0259935e-06,0.012243397,0.015263373799964421,8.347451466519061,652.2272661726198,0.0004854025496833548,2.47910290051522
790,8,0.003640239592641592,0.0002955897361971438,3.563023090362549,0.003300432115793228,0.003633506828919053,0.001209355192258954,0.0011472771875560284,12.695174217224121,92.9864296913147,516.234375,4.227386e-06,0.01211226,0.015263373799964421,8.347451466519061,652.2272661726198,0.0004854025496833548,2.47910290051522
800,8,0.00363980233669281,0.00017481048416811973,2.2722952365875244,0.0032908767461776733,0.003625147510319948,0.0011886174324899912,0.0011273659765720367,5.163366317749023,94.1444149017334,516.25,2.4814583e-06,0.012189786,0.019030127183294186,47.489786284090776,32.54592517871093,0.0006205338953539286,5.478932669874296
810,9,0.004540842957794666,0.0005244096391834319,0.4574383497238159,0.004190210718661547,0.004619887098670006,0.0025321291759610176,0.002400794764980674,0.2093217968940735,95.26996493339539,512.546875,1.0988789e-06,0.012440197,0.019030127183294186,47.489786284090776,32.54592517871093,0.0006205338953539286,5.478932669874296
820,9,0.004541381262242794,0.00025313126388937235,0.5962773561477661,0.004167610313743353,0.004600424785166979,0.0023858945351094007,0.0022610744927078485,0.3556167483329773,96.43194437026978,515.3125,8.6770825e-07,0.012522495,0.019030127183294186,47.489786284090776,32.54592517871093,0.0006205338953539286,5.478932669874296
830,9,0.004539957270026207,0.0001783716434147209,0.598034679889679,0.004143792204558849,0.004579898435622454,0.002230799989774823,0.0021129592787474394,0.3577136993408203,97.68974447250366,515.5625,4.5864627e-07,0.012510274,0.019030127183294186,47.489786284090776,32.54592517871093,0.0006205338953539286,5.478932669874296
840,9,0.004537883680313826,0.00011570047354325652,0.5515351891517639,0.00412038853392005,0.004559694789350033,0.002081116894260049,0.001970006851479411,0.30425766110420227,98.95946264266968,483.96875,2.4185331e-07,0.012464925,0.019030127183294186,47.489786284090776,32.54592517871093,0.0006205338953539286,5.478932669874296
